"source_tab","section","event_count"
,"/nashonmusic-1/song","1426"
,"/yang-bow-kigandakye/album","1418"
"Playlists","Sponsored Songs - Queue End Autoplay","1395"
"Search","Playlists - Caribe","1376"
,"/about","1374"
,"/afrobeats/songs","1362"
"Search","Playlists - Festa","1355"
"Charts","Smart Share Link","1355"
"Feed","Charts - Top Songs","1350"
,"Playlist Details","1340"
"Search","Notifications","1312"
"Search","Playlists - حزين","1309"
,"/youngboy-never-broke-again/album","1303"
,"Browse - Popular Playlists in Sierra Leone Playlists","1291"
"Search","Playlists - Evangelio","1285"
,"Playlists - Discovery Series","1258"
"Search","Playlists - Se concentrer","1237"
"Playlists","Playlists - Roots ","1226"
"Charts","Queue - Geo-Restricted","1222"
"Search","Playlists - Inspiración","1219"
,"/dj-free-2/song","1216"
"Browse","Search - Albums","1198"
"Playlists","Playlists - Sex","1193"
"Browse","Playlists - Popular in Your Area","1183"
"Search","Playlists - En colère","1182"
"Search","Profile - Articles","1176"
,"/femzy-junior-1/song","1175"
,"/army_mack/playlist","1163"
"Search","Playlists - Enojado","1156"
"Search","Playlists - Froideur","1149"
"Search","Playlists - Enfocar","1121"
,"Browse - Afrosounds Playlists","1111"
"Browse","Playlists - Caribbean Playlists","1095"
,"My Library Search - Favorites","1079"
"Playlists","Playlists - Desi","1061"
"Browse","Browse - Trending","1056"
,"Playlists - Popular Playlists in Nigeria","1050"
,"Browse - Popular Playlists in Senegal Playlists","1047"
"Search","Playlists - نادي رياضي","1044"
"Playlists","Player - Appears On","1018"
"My Library","Browse - Playlists You Might Like Playlists","1014"
"My Library","Playlists - ","1007"
,"Browse - R&B Playlists Playlists","994"
,"/painetics/album","981"
"Playlists","Playlists - Country","941"
,"/youngboy-never-broke-again/song","931"
,"External Deeplink – Open With Audiomack","926"
,"/syluslvr/song","912"
"Browse","Search - Top Albums","911"
"Playlists","Queue","903"
"Search","Playlists - حب","893"
"My Library","My Library - Local","892"
,"/YosoyDROX/song","889"
"Search","Playlists - Afrosonidos","884"
"Search","Browse - Trending Albums","884"
,"/muhajeeer6644/song","882"
"Playlists","Search - All Music","879"
,"/messages/87579","875"
"Browse","Browse - Popular Playlists in Tanzania Playlists","866"
"Browse","Profile - Articles","866"
"Playlists","Playlists - Pop","865"
"Playlists","Playlists - Party","851"
"Browse","Search - Playlists","848"
"Playlists","Browse - Recommendations","842"
"My Library","Search - Albums","837"
"Browse","Charts - Top Playlists","830"
,"/gospel/trending-now/songs","824"
"My Library","Search - Playlists","821"
"Search","Playlists - الجنس","816"
,"/jk173/song","815"
,"/seyivibezmusic/song","814"
